validation: epoch: 157, nrg_mae: 1.5740951299667358 meV/atom, force_mae: 15.888935089111328 meV/AA, max fae: 253.0694580078125 meV/AA 
validation: epoch: 158, nrg_mae: 1.642604112625122 meV/atom, force_mae: 15.84382152557373 meV/AA, max fae: 253.58682250976562 meV/AA 
validation: epoch: 159, nrg_mae: 1.6771316528320312 meV/atom, force_mae: 15.782258987426758 meV/AA, max fae: 256.4507141113281 meV/AA 
validation: epoch: 160, nrg_mae: 1.643765926361084 meV/atom, force_mae: 15.74372673034668 meV/AA, max fae: 256.8224182128906 meV/AA 
validation: epoch: 161, nrg_mae: 1.615349292755127 meV/atom, force_mae: 15.70966625213623 meV/AA, max fae: 254.722900390625 meV/AA 
validation: epoch: 162, nrg_mae: 1.605385422706604 meV/atom, force_mae: 15.681106567382812 meV/AA, max fae: 257.3226013183594 meV/AA 
validation: epoch: 163, nrg_mae: 1.609068751335144 meV/atom, force_mae: 15.64404582977295 meV/AA, max fae: 255.71792602539062 meV/AA 
validation: epoch: 164, nrg_mae: 1.6196410655975342 meV/atom, force_mae: 15.608582496643066 meV/AA, max fae: 256.3857421875 meV/AA 
validation: epoch: 165, nrg_mae: 1.5953973531723022 meV/atom, force_mae: 15.579163551330566 meV/AA, max fae: 257.1757507324219 meV/AA 
validation: epoch: 166, nrg_mae: 1.5716508626937866 meV/atom, force_mae: 15.541662216186523 meV/AA, max fae: 257.1644287109375 meV/AA 
validation: epoch: 167, nrg_mae: 1.5299279689788818 meV/atom, force_mae: 15.5068941116333 meV/AA, max fae: 259.57012939453125 meV/AA 
validation: epoch: 168, nrg_mae: 1.5074876546859741 meV/atom, force_mae: 15.472832679748535 meV/AA, max fae: 258.2864685058594 meV/AA 
validation: epoch: 169, nrg_mae: 1.560408592224121 meV/atom, force_mae: 15.44212532043457 meV/AA, max fae: 254.58741760253906 meV/AA 
validation: epoch: 170, nrg_mae: 1.5528788566589355 meV/atom, force_mae: 15.410629272460938 meV/AA, max fae: 253.79627990722656 meV/AA 
validation: epoch: 171, nrg_mae: 1.5471056699752808 meV/atom, force_mae: 15.376858711242676 meV/AA, max fae: 251.95819091796875 meV/AA 
validation: epoch: 172, nrg_mae: 1.5165095329284668 meV/atom, force_mae: 15.346110343933105 meV/AA, max fae: 249.06427001953125 meV/AA 
validation: epoch: 173, nrg_mae: 1.4963603019714355 meV/atom, force_mae: 15.317767143249512 meV/AA, max fae: 247.34567260742188 meV/AA 
validation: epoch: 174, nrg_mae: 1.52768075466156 meV/atom, force_mae: 15.28515911102295 meV/AA, max fae: 250.8751220703125 meV/AA 
validation: epoch: 175, nrg_mae: 1.5096336603164673 meV/atom, force_mae: 15.259560585021973 meV/AA, max fae: 250.6489715576172 meV/AA 
validation: epoch: 176, nrg_mae: 1.494287371635437 meV/atom, force_mae: 15.21934986114502 meV/AA, max fae: 246.6912384033203 meV/AA 
validation: epoch: 177, nrg_mae: 1.5122535228729248 meV/atom, force_mae: 15.17479133605957 meV/AA, max fae: 245.24232482910156 meV/AA 
validation: epoch: 178, nrg_mae: 1.5330877304077148 meV/atom, force_mae: 15.13709831237793 meV/AA, max fae: 241.89785766601562 meV/AA 
validation: epoch: 179, nrg_mae: 1.5320600271224976 meV/atom, force_mae: 15.111462593078613 meV/AA, max fae: 235.2684783935547 meV/AA 
validation: epoch: 180, nrg_mae: 1.5233312845230103 meV/atom, force_mae: 15.092480659484863 meV/AA, max fae: 236.4671173095703 meV/AA 
validation: epoch: 181, nrg_mae: 1.491178035736084 meV/atom, force_mae: 15.060047149658203 meV/AA, max fae: 236.04489135742188 meV/AA 
validation: epoch: 182, nrg_mae: 1.4763243198394775 meV/atom, force_mae: 15.033263206481934 meV/AA, max fae: 230.9742889404297 meV/AA 
validation: epoch: 183, nrg_mae: 1.4793444871902466 meV/atom, force_mae: 15.009024620056152 meV/AA, max fae: 228.16741943359375 meV/AA 
validation: epoch: 184, nrg_mae: 1.4505181312561035 meV/atom, force_mae: 14.984719276428223 meV/AA, max fae: 228.65158081054688 meV/AA 
validation: epoch: 185, nrg_mae: 1.4714548587799072 meV/atom, force_mae: 14.965080261230469 meV/AA, max fae: 226.35662841796875 meV/AA 
validation: epoch: 186, nrg_mae: 1.488075613975525 meV/atom, force_mae: 14.935633659362793 meV/AA, max fae: 226.69253540039062 meV/AA 
validation: epoch: 187, nrg_mae: 1.4934457540512085 meV/atom, force_mae: 14.90674114227295 meV/AA, max fae: 224.26133728027344 meV/AA 
validation: epoch: 188, nrg_mae: 1.4971569776535034 meV/atom, force_mae: 14.877293586730957 meV/AA, max fae: 218.3434295654297 meV/AA 
validation: epoch: 189, nrg_mae: 1.5128077268600464 meV/atom, force_mae: 14.85799503326416 meV/AA, max fae: 216.10800170898438 meV/AA 
validation: epoch: 190, nrg_mae: 1.494200587272644 meV/atom, force_mae: 14.842658996582031 meV/AA, max fae: 216.05270385742188 meV/AA 
validation: epoch: 191, nrg_mae: 1.4886069297790527 meV/atom, force_mae: 14.821159362792969 meV/AA, max fae: 216.87144470214844 meV/AA 
validation: epoch: 192, nrg_mae: 1.4721338748931885 meV/atom, force_mae: 14.783042907714844 meV/AA, max fae: 215.06842041015625 meV/AA 
